property_id,address,city,zip_code,property_type,listing_type,sqft,price,year_built,agent_id,listed_date,is_available
28,,long beach,46038,SINGLE FAMILY,RENTAL,651,"$4,657.36",1960.0,11,2024-10-30,0
46,,oakland,76729,TOWNHOUSE,sale,1184,595624.19,2030.0,25,24-09-2024,0
53,,Bakersfield,41551,Condominium,Sale,2380,726317.07,1990.0,43,06-01-2026,False
57,,SAN DIEGO,05984,Town House,for sale,,2692663.56,,42,12/15/2025,True
150,,LOS ANGELES,87995,single family,For Sale,2998 sq ft,"$1,804,351.91",1850.0,34,2025-02-18,False
158,,san diego,28006,single family,Rental,1805 sq ft,1277.74,2030.0,18,2025-08-03,1
165,,FRESNO,75156,single family,Rental,,"$3,301",,27,03/14/2025,True
206,,FRESNO,51230,MULTI FAMILY,RENT,,6753.52,,20,07-01-2026,0
241,,los angeles,88464,Condominium,For Sale,4524,1005108.53,,36,07/02/2024,true
247,,San Jose,92256,single family,for rent,4013 sq ft,"$6,589",1986.0,2,2024-12-01,false
270,,sf,20822,Single Family,sale,3890,"$2,427,324",1958.0,32,05/24/2026,False
280,,FRESNO,66801,Studio,RENTAL,632 sq ft,"$4,020.58",1940.0,17,2024-11-14,True
297,,SAN DIEGO,33034,multi-family,for sale,1782 sq ft,1404040.0,1910.0,24,05/08/2026,true
304,,fresno,48041,studio,Rental,4555 sqft,"$7,057",1986.0,16,2024-08-25,0
313,,SAN FRANCISCO,19341,Townhouse,rent,992 sqft,"$4,105.94",1850.0,40,08/06/2024,0
357,,ANAHEIM,07107,Single Family,for sale,2420 sq ft,961187.46,2030.0,32,01-02-2026,false
363,,SAN DIEGO,88797,condo,For Rent,4846,7692.11,1850.0,27,10/21/2025,True
388,,Bakersfield,80081,condo,For Sale,1527,710619.79,1966.0,9,20-02-2025,False
402,,SAN DIEGO,17422,condo,Rental,4118 sqft,4104.16,1996.0,24,22-12-2025,true
416,,BAKERSFIELD,77638,Single Family,Sale,4825 sqft,1120772.34,,20,19-06-2026,True
465,,Sacramento,69812,Single Family,For Sale,1276 sqft,1571093.19,1951.0,13,08-10-2025,0
