property_id,address,city,zip_code,property_type,listing_type,sqft,price,year_built,agent_id,listed_date,is_available
6,9292 Paul Rest Suite 514,sacramento,57694,Multi-Family,For Rent,,7045.12,,28,08/25/2024,false
9,842 Moore Via,sf,99195,Multi-Family,SALE,,2071584.58,,32,02/14/2025,False
13,87824 Mitchell Orchard Suite 954,SAN DIEGO,66132,CONDO,sale,,"$1,796,543",1906.0,25,04/16/2025,False
19,308 Diana Plaza,Long Beach,09075,townhouse,sale,,"$1,973,381",2030.0,36,03-06-2025,True
20,14490 Nathan Radial Apt. 476,SAN JOSE,36050,STUDIO,Rent,,2796.33,1904.0,10,2025-11-29,True
34,5996 Jennifer Corners,SF,95994,Town House,sale,,"$373,176",,41,10/07/2024,False
41,1735 Davis Manor,SF,03996,Multi-Family,for rent,,3794.51,1921.0,29,07/03/2024,False
51,134 Erik Station Apt. 210,la,02033,studio,Rental,,2983.36,1976.0,27,2025-09-18,true
59,99808 Christopher Forest,sacramento,67034,Condo,Sale,,2740714.33,1991.0,6,02-12-2025,true
65,7750 Gibson Burgs Apt. 230,Sacramento,62585,Single Family,rent,,"$3,932.19",1944.0,32,29-07-2025,true
69,06718 Paul Plains Apt. 794,SACRAMENTO,86571,Multi-Family,Sale,,595116.21,1920.0,12,10-08-2025,False
71,50506 Crystal Shore,Oakland,02760,STUDIO,sale,,1575716.02,2030.0,19,2025-08-24,1
90,1913 Stevens Ports Suite 193,san diego,27713,townhouse,for rent,,"$2,644",2030.0,45,09/16/2024,1
98,7077 Garcia Prairie,FRESNO,40288,SINGLE FAMILY,Rent,,"$2,071",1926.0,49,02-12-2024,1
103,5056 Kaitlyn Forges Apt. 016,SAN JOSE,65109,Multi-Family,Sale,,1534676.69,1850.0,31,10/04/2024,False
106,69704 Kelly Turnpike,Anaheim,45752,studio,For Rent,,3029.32,1991.0,2,03/16/2025,true
113,90613 Rebecca Gardens Suite 044,Sacramento,67298,STUDIO,For Rent,,"$7,551",1850.0,43,06/27/2026,False
117,45839 Brian Viaduct Suite 935,LOS ANGELES,72056,SINGLE FAMILY,For Sale,,1427276.39,,3,02-07-2026,false
121,76567 Fischer Rest,SAN FRANCISCO,23431,Condominium,For Sale,,1572576.92,1984.0,4,14-01-2025,True
125,9401 Andrew Well,la,52922,Studio,rent,,"$6,232.72",,24,02/11/2026,True
130,80393 Smith Village Suite 493,LOS ANGELES,99374,Condominium,rent,,2705.11,1850.0,4,2026-06-08,1
134,5751 Campbell Spring Apt. 306,FRESNO,45097,Townhouse,RENT,,4333.48,1926.0,45,15-03-2026,True
136,490 Bryan Pike,sacramento,33747,single family,For Sale,,"$1,213,333",2030.0,44,2025-12-11,True
137,4104 Pham Burgs,SAN DIEGO,94577,Studio,RENT,,"$1,651",1954.0,30,02/07/2025,true
138,9669 John Canyon,fresno,68048,Townhouse,For Rent,,"$1,900",2030.0,10,24-11-2025,true
152,403 Baxter Alley Apt. 269,Bakersfield,90109,Multi-Family,Sale,,1932360.07,2030.0,15,11-04-2025,false
153,2657 Mitchell Bridge,sf,84540,Single-Family,RENT,,7322.36,1957.0,20,28-04-2026,0
164,254 Daniel Burgs Apt. 521,SACRAMENTO,75940,Condo,Sale,,"$1,063,240.66",2030.0,6,11/27/2024,false
184,7339 Kevin Forest,la,35541,Townhouse,For Rent,,"$6,972",2030.0,23,2025-09-05,true
