transaction_id,property_id,agent_id,client_id,transaction_type,status,list_price,sale_price,commission_earned,close_date
10,129,45,387,PURCHASE,canceled,2177231.0,1099942.24,,15-06-2025
17,284,33,398,Sale,ACTIVE,485616.0,1650548.07,,2025-06-14
20,203,4,118,sale,Cancelled,2710421.63,1196015.94,,11/17/2025
21,238,12,232,LEASE,Cancelled,1422672.41,732401.65,,09-10-2025
25,7,13,141,sale,Active,551320.5,3437585.22,,17-04-2025
32,128,24,330,rental,closed,693913.44,673682.22,,30-09-2024
38,208,24,322,SALE,closed,3567.06,2726217.0,,25-04-2025
43,4,48,311,Purchase,CLOSED,1122855.0,2182864.16,,01/23/2026
44,108,4,315,rental,Active,2866.31,599865.71,,05-06-2025
54,417,24,313,RENTAL,pending,2156810.12,2024131.28,,2027-04-04
59,203,29,314,Purchase,CLOSED,2710421.63,1004803.56,,10/07/2025
68,33,22,355,Rental,ACTIVE,386686.0,2918517.84,,06/24/2026
70,252,29,349,Purchase,Withdrawn,6918.13,720501.8,,05/06/2025
87,49,16,364,sale,ACTIVE,3210.84,916188.04,,08-10-2024
89,310,2,176,Purchase,pending,887515.66,1652896.59,,08/07/2025
93,249,15,269,rental,Closed,538022.99,896586.27,,08/19/2025
94,352,28,9,Rental,WITHDRAWN,773957.9,1197440.99,,2025-10-12
98,181,45,55,PURCHASE,pending,5248.0,915259.66,,04/21/2026
130,166,43,106,sale,Cancelled,1330961.13,2771647.18,,22-01-2026
146,399,17,62,lease,canceled,7022.18,919883.16,,09/28/2025
147,197,42,17,RENTAL,WITHDRAWN,5423.78,2382021.13,,2025-07-16
167,60,23,383,SALE,close,3661.87,2602456.29,,01/08/2025
169,496,49,124,PURCHASE,active,7546.0,3461198.41,,27-02-2026
173,61,15,226,sale,WITHDRAWN,1948218.0,1712836.73,,22-04-2025
181,303,30,247,Purchase,cancelled,6738.24,3452299.7,,2026-04-06
186,248,42,73,RENTAL,cancelled,2784.67,3487865.15,,01/24/2025
191,273,40,22,LEASE,Active,2256.57,343790.14,,2025-01-28
192,464,34,51,rental,Pending,4914.88,1793265.01,,2026-06-30
194,101,27,205,LEASE,active,4473.51,1489527.37,,09-12-2025
208,216,38,63,Rental,CANCELLED,7721.59,1582107.23,,2026-06-01
212,423,40,361,Purchase,cancelled,2641433.0,1855212.9,,01-02-2025
239,391,5,378,lease,Withdrawn,2514374.0,789226.17,,11/12/2026
248,318,50,40,Sale,WITHDRAWN,6002.77,2992403.23,,2026-02-15
251,221,27,135,lease,closed,6297.0,2998083.69,,30-09-2026
264,468,21,14,LEASE,CLOSED,734599.07,1941515.84,,09-01-2026
270,303,17,259,SALE,pending,6738.24,1865411.56,,2025-02-09
275,220,29,374,rental,Cancelled,2039366.4,1690375.31,,01-01-2025
276,410,18,343,LEASE,canceled,649514.0,1344391.87,,09/10/2024
284,32,18,90,Rental,CLOSED,5993.99,1484361.58,,2026-06-29
285,80,10,201,LEASE,Closed,2271017.21,2801268.62,,11-08-2024
287,133,50,112,rental,ACTIVE,1885.3,3290940.44,,07/24/2025
312,467,44,79,PURCHASE,Closed,370204.38,2913665.5,,29-01-2026
316,367,5,156,Rental,WITHDRAWN,2155.45,3041082.42,,22-07-2025
322,401,37,101,Lease,CLOSED,4550.84,2754866.14,,2025-10-06
323,429,22,296,Rental,Pending,7135.45,2378882.92,,2025-05-17
356,49,1,231,Purchase,CLOSED,3210.84,518868.21,,2024-11-18
361,482,33,387,Sale,canceled,3245.63,2162413.44,,2024-07-31
377,77,13,90,Lease,Withdrawn,1240879.0,858787.23,,11/03/2025
380,217,20,51,PURCHASE,ACTIVE,1795.41,3119394.82,,2025-08-02
384,174,38,22,RENTAL,active,6579.0,2715964.69,,12/27/2025
385,73,48,197,RENTAL,cancelled,2139027.16,829416.53,,12/18/2025
388,319,22,100,SALE,WITHDRAWN,2142024.0,429652.78,,12/08/2024
407,281,13,178,SALE,Pending,524805.0,2240439.0,,17-08-2024
425,159,6,267,Sale,close,1241.0,1453293.83,,2026-06-20
426,486,27,365,Lease,PENDING,1549.97,2801230.76,,2026-03-25
427,279,10,68,PURCHASE,canceled,6311.0,383817.75,,09-04-2026
465,231,30,12,rental,Pending,5242.84,1087317.77,,22-11-2025
466,202,32,146,Lease,Active,1537870.27,3067801.92,,06/09/2025
467,346,31,231,Lease,closed,5216.33,532537.09,,13-03-2025
508,290,10,141,RENTAL,Closed,2458147.83,1378411.56,,26-09-2024
509,400,10,252,Lease,CANCELLED,458786.91,1168521.64,,12/08/2024
515,296,34,397,RENTAL,pending,2909876.18,2498364.86,,09/03/2024
521,192,20,173,Lease,WITHDRAWN,1535253.82,2609769.77,,12/05/2024
553,240,25,29,lease,canceled,1950749.0,3478927.18,,03-04-2025
562,102,37,131,Rental,active,2418673.95,1138373.51,,06/02/2025
568,263,30,65,rental,cancelled,2174481.76,2347538.71,,2026-04-21
576,100,6,130,Sale,Pending,2363902.42,2443099.53,,02/24/2026
581,70,5,48,Lease,CLOSED,6469.88,1304498.43,,11-05-2026
583,387,50,322,Purchase,cancelled,1320.67,1719705.2,,10/31/2024
591,258,25,363,Sale,canceled,2362419.63,2307211.94,,2026-03-14
595,258,48,279,Lease,WITHDRAWN,2362419.63,3153981.87,,27-01-2026
597,274,29,95,sale,Active,2410544.0,2040731.54,,06/19/2025
604,58,45,14,PURCHASE,CANCELLED,7570.84,2742033.34,,2024-12-26
605,147,12,364,Rental,Withdrawn,5093.12,2488871.68,,14-07-2025
613,183,20,286,Rental,WITHDRAWN,6030.73,516562.53,,01/10/2025
629,132,48,25,sale,ACTIVE,5387.0,3378673.09,,05/02/2026
631,301,40,78,Sale,active,2724577.73,3437100.96,,2025-03-29
660,163,38,363,PURCHASE,canceled,4286.37,1356376.04,,2025-04-29
667,274,24,23,PURCHASE,cancelled,2410544.0,525921.8,,15-08-2025
677,258,8,200,SALE,ACTIVE,2362419.63,2451046.75,,2025-04-30
681,373,3,298,Rental,canceled,5028.08,755931.02,,25-11-2026
689,77,44,348,SALE,CLOSED,1240879.0,2373253.8,,2025-08-29
712,279,21,226,Purchase,canceled,6311.0,511943.57,,2026-05-23
717,302,17,264,SALE,Cancelled,783519.95,1080752.77,,2026-05-01
741,228,42,212,Purchase,ACTIVE,2273114.4,3322723.01,,24-05-2025
743,236,36,80,SALE,Withdrawn,3364.0,1433509.86,,27-12-2025
746,239,28,146,LEASE,ACTIVE,7198.0,3325083.85,,2025-08-10
771,458,12,227,Rental,WITHDRAWN,2892.97,1471147.75,,31-01-2026
772,10,34,204,Sale,close,1586723.84,489871.44,,05/07/2026
785,497,24,204,sale,PENDING,6088.0,3110057.17,,01/31/2026
787,183,42,114,Lease,pending,6030.73,2238050.28,,04/20/2025
788,433,25,44,PURCHASE,Closed,6536.0,1094787.23,,03/25/2025
792,159,2,131,PURCHASE,ACTIVE,1241.0,2228661.03,,06/04/2025
796,93,28,197,LEASE,WITHDRAWN,1880217.99,2910659.57,,12/02/2025
